id,fecha_informe,fecha_inicio_campo,fecha_fin_campo,presidente,encuestadora,producto,aprueba_pct,desaprueba_pct,nr_pct,n_muestra,aprueba_gob_pct,desaprueba_gob_pct,nr_gob_pct,neto_gob,modalidad,n_informe,excluir,url_fuente
1,16-03-2018,14-03-2018,16-03-2018,Sebastián Piñera,Cadem,Plaza Pública,51.0,21.0,28.0,704,,,,,online,218,0,http://web.archive.org/web/20191203151125/https://www.cadem.cl/wp-content/uploads/2018/03/Track-PP-218-VF.pdf
2,20-03-2018,,20-03-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,49.0,25.0,26.0,,,,,,presencial,Citado en La Tercera (20-03-2018),0,https://www.latercera.com/politica/noticia/adimark-gobierno-sebastian-pinera-alcanza-49-aprobacion-primer-mes/123295/
3,22-03-2018,21-03-2018,22-03-2018,Sebastián Piñera,Cadem,Plaza Pública,54.0,19.0,27.0,703,,,,,online,219,0,https://insight-chile.cl/storage/2018/03/PP-Track-219-VF.pdf
4,28-03-2018,27-03-2018,28-03-2018,Sebastián Piñera,Cadem,Plaza Pública,58.0,23.0,19.0,700,,,,,online,220,0,https://insight-chile.cl/storage/2018/04/Track-PP-N220-VF.pdf
5,29-03-2018,12-03-2018,29-03-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,49,25,19,1100,,,,,online,Marzo 2018,0,https://cdn2.hubspot.net/hubfs/2405078/cms-pdfs/fileadmin/user_upload/country_one_pager/cl/_gobierno_marzo_2018.pdf
6,05-04-2018,04-04-2018,05-04-2018,Sebastián Piñera,Cadem,Plaza Pública,55.0,27.0,18.0,704,,,,,online,221,0,https://insight-chile.cl/storage/2018/04/Track-PP-N221-VF.pdf
7,10-04-2018,09-04-2018,10-04-2018,Sebastián Piñera,Criteria,Agenda Criteria,52.0,30.0,18.0,809,,,,,online,Abril 2018,0,https://web.archive.org/web/20180421232304/https://www.criteria.cl/wp-content/uploads/2018/04/Encuesta-Criteria-Abril-18.pdf
8,10-04-2018,,10-04-2018,Sebastián Piñera,MORI,MORI,44.0,38.0,18.0,,,,,,telefónica,Citado en La Tercera (10-04-2018),0,https://www.latercera.com/politica/noticia/cerc-mori-gobierno-sebastian-pinera-obtiene-44-aprobacion/145735/
9,12-04-2018,11-04-2018,12-04-2018,Sebastián Piñera,Cadem,Plaza Pública,60.0,25.0,15.0,700,,,,,online,222,0,https://insight-chile.cl/storage/2018/04/PP-N222-vf.pdf
10,15-04-2018,,15-04-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,54.0,30.0,16.0,,,,,,presencial,Citado en La Tercera (15-04-2018),0,https://www.latercera.com/politica/noticia/adimark-aprobacion-gobierno-pinera-aumenta-cinco-puntos-segundo-mes/153018/
11,16-04-2018,04-04-2018,16-04-2018,Sebastián Piñera,MORI,MORI,44,38,18,1200,,,,,online,Citado en morichile.cl (16-04-2018),0,http://morichile.cl/wp-content/uploads/2018/04/INFORME_DE_PRENSA_ABRIL_2018-1.pdf
